Date,always_up_gross,always_up_net,persistence_gross,persistence_net,logreg_gross,logreg_net,gbm_gross,gbm_net
2018-01-02,1.0063252817069046,1.0063252817069046,1.0063252817069046,1.0063252817069046,1.0063252817069046,1.0063252817069046,1.0,1.0
2018-01-03,1.0105667532856886,1.0105667532856886,1.0105667532856886,1.0105667532856886,1.0105667532856886,1.0105667532856886,1.0,1.0
2018-01-04,1.0173011273449655,1.0173011273449655,1.0173011273449655,1.0173011273449655,1.0105667532856886,1.0100614699090458,1.0,1.0
2018-01-05,1.0191611201111572,1.0191611201111572,1.0191611201111572,1.0191611201111572,1.0105667532856886,1.0100614699090458,1.0018283600756899,1.0013283600756897
2018-01-08,1.021468230253938,1.021468230253938,1.021468230253938,1.021468230253938,1.0105667532856886,1.0100614699090458,1.0018283600756899,1.000827695895652
2018-01-09,1.0199055181617669,1.0199055181617669,1.0199055181617669,1.0199055181617669,1.0105667532856886,1.0100614699090458,1.0018283600756899,1.000827695895652
2018-01-10,1.027346911931522,1.027346911931522,1.0199055181617669,1.019395565402686,1.017940009933398,1.0169260091934766,1.0091378600090442,1.0076294809751687
2018-01-11,1.0340438429822587,1.0340438429822587,1.0265539412543654,1.0255309665010368,1.017940009933398,1.01641754618888,1.0091378600090442,1.0071256662346812
2018-01-12,1.030509391113953,1.030509391113953,1.0230450905221575,1.0220256123855853,1.017940009933398,1.01641754618888,1.0091378600090442,1.0071256662346812
2018-01-16,1.0403319403542577,1.0403319403542577,1.0230450905221575,1.0215145995793926,1.0276427510801223,1.02559756683149,1.0187567013370982,1.016221765018496
2018-01-17,1.0385830479139233,1.0385830479139233,1.0213252588458117,1.0192865834974805,1.0276427510801223,1.0250847680480744,1.0187567013370982,1.0157136541359868
2018-01-18,1.0433084978621598,1.0433084978621598,1.0213252588458117,1.0187769402057318,1.0323184237619083,1.029236259776527,1.0233919433731282,1.0198271937817385
2018-01-19,1.0517915056881366,1.0517915056881366,1.0296295237697628,1.0265510966069675,1.0407120727023862,1.0376048480362354,1.0317130122443825,1.0281192781304442
2018-01-22,1.0540239238190632,1.0540239238190632,1.031814903290866,1.028729942193754,1.0407120727023862,1.0370860456122173,1.0317130122443825,1.027605218491379
2018-01-23,1.0536145081246482,1.0536145081246482,1.0314141142711937,1.0283303514689792,1.0407120727023862,1.0370860456122173,1.0317130122443825,1.027605218491379
2018-01-24,1.0540613668276029,1.0540613668276029,1.0314141142711937,1.027816186293245,1.041153459227886,1.0370073512452727,1.0317130122443825,1.027605218491379
2018-01-25,1.0662650715384572,1.0662650715384572,1.0433556137714135,1.0392021216336071,1.041153459227886,1.03648884756965,1.0317130122443825,1.027605218491379
2018-01-26,1.0591957151229858,1.0591957151229858,1.0364381474689763,1.0323121930580212,1.041153459227886,1.03648884756965,1.0317130122443825,1.027605218491379
2018-01-29,1.0483313578212339,1.0483313578212339,1.0364381474689763,1.0317960369614922,1.041153459227886,1.03648884756965,1.0317130122443825,1.027605218491379
2018-01-30,1.0488522618519576,1.0488522618519576,1.0364381474689763,1.0317960369614922,1.0416707966417367,1.036485622766781,1.0317130122443825,1.027605218491379
2018-01-31,1.0476617164508872,1.0476617164508872,1.0352616932486418,1.030108953952212,1.0404884028752577,1.0353091146575437,1.030541921494401,1.0259249878622037
2018-02-01,1.02485400945103,1.02485400945103,1.0352616932486418,1.0295938994752358,1.0178368596749188,1.0127703251125904,1.0081069142516634,1.0035904917557112
2018-02-02,0.9819921762865996,0.9819921762865996,1.0352616932486418,1.0295938994752358,0.9752685004103999,0.9704138603785409,0.9659454844557174,0.9616179494947081
2018-02-05,1.0013396707511457,1.0013396707511457,1.0352616932486418,1.0295938994752358,0.9944835230641337,0.9895332355073637,0.9659454844557174,0.9611371405199608
2018-02-06,0.99590726576084,0.99590726576084,1.0296452566358214,1.0234934144709122,0.9890883136149586,0.984164882046833,0.9607050977783532,0.9554422711973775
2018-02-07,0.958551818246076,0.958551818246076,1.0296452566358214,1.022981667763677,0.9519886379152507,0.9472498791533779,0.9246700470351412,0.9196046236149654
2018-02-08,0.9729508860897682,0.9729508860897682,1.0296452566358214,1.022981667763677,0.9662891157014675,0.9614791727765601,0.9246700470351412,0.919144821303158
2018-02-09,0.9872379482498833,0.9872379482498833,1.0447648335792628,1.0374919040127892,0.980478354704222,0.9755977813348212,0.9382481408818729,0.9321822088972219
2018-02-12,0.9896938604006958,0.9896938604006958,1.047363853049774,1.0400728309088345,0.9829174512859482,0.9780247367104056,0.9382481408818729,0.9317161177927734
2018-02-13,1.003051055514532,1.003051055514532,1.0614993790948692,1.0541099552064679,0.9961831900188381,0.9912244419496702,0.9382481408818729,0.9317161177927734
2018-02-14,1.015849709583879,1.015849709583879,1.0750438176089117,1.067560106715278,0.9961831900188381,0.9907288297286954,0.9502199276820924,0.9431386997259448
2018-02-15,1.0161473135999424,1.0161473135999424,1.0753587631707857,1.0678728598441611,0.9964750325180656,0.9905237098999891,0.9504983047529855,0.9434150022755199
