strategy,costs,total_return,sharpe,max_drawdown,days_in_market,switches
always_up,none,1.7038329806427406,0.7587627059483348,-0.33717261131099086,1.0,0
always_up,0.05%/switch,1.7038329806427406,0.7587627059483348,-0.33717261131099086,1.0,0
persistence,none,0.3496847979081674,0.3766089911248667,-0.2828677301136807,0.5532467532467532,956
persistence,0.05%/switch,-0.1633008350150169,-0.1224701796814887,-0.34662306449887337,0.5532467532467532,956
logreg,none,0.6987328343803196,0.4667050639436293,-0.36227186643215525,0.8384415584415584,280
logreg,0.05%/switch,0.4768766368318422,0.36801295408319296,-0.39463089834748943,0.8384415584415584,280
gbm,none,1.1416607801954912,0.6443979131954337,-0.335758088711704,0.7922077922077922,439
gbm,0.05%/switch,0.7198397721441638,0.48491009478812735,-0.33710064011347407,0.7922077922077922,439
